category_id,catagory_description,sub-category_id,sub-catagory_description,req_id,req_name,req_description,level1,level2,level3,CWE,NIST
V4,Integrate,V4.2,Continuous Integration Security,V4.2.1,,Verify that security testing and evaluation are integrated into the CI process,,,,,
V4,Integrate,V4.2,Continuous Integration Security,V4.2.2,,Verify that branch protection rules are enforced on all repositories,,,,,
V4,Integrate,V4.2,Continuous Integration Security,V4.2.3,,Verify that auto-merge rules are restricted and reviewed for security implications,,,,,
V4,Integrate,V4.2,Continuous Integration Security,V4.2.4,,Verify that pipelines require manual approval for sensitive operations,,,,,
V5,Release Ready (pre-prod/staging),V5.1,Final Security Assessments,V5.1.1,,Verify that comprehensive security assessments have taken place on the release candidate aligned with security policy,,,,,
V5,Release Ready (pre-prod/staging),V5.2,Compliance Checks,V5.2.1,,Verify that compliance documentation is maintained and reviewed periodically,,,,,
V6,Deploy (prod),V6.1,Secure Deployment Practices,V6.1.1,,Verify that automated deployment scripts are used to minimize human error,,,,,
V6,Deploy (prod),V6.1,Secure Deployment Practices,V6.1.2,,Verify that deployment scripts are reviewed for security vulnerabilities and adhere to change control best practices and company policy.,,,,,
V6,Deploy (prod),V6.2,Transition Security,V6.2.1,,Verify that secure transfer protocols are used during deployment,,,,,
V6,Deploy (prod),V6.2,Transition Security,V6.2.2,,Verify that configurations are encrypted during the transition to production,,,,,
V6,Deploy (prod),V6.3,Secure Deployment Practices,V6.3.1,,Verify that deployment environments are isolated from development and testing environments,,,,,
V6,Deploy (prod),V6.3,Secure Deployment Practices,V6.3.2,,Verify that deployment scripts include checks for unauthorized changes before execution,,,,,
V7,Operate,V7.1,Security Standard Enforcement,V7.1.1,,Verify that security policies and standards are continuously enforced in the production environment,,,,,
V7,Operate,V7.1,Security Standard Enforcement,V7.1.2,,Verify that operational practices are regularly reviewed to ensure they do not compromise security,,,,,
V7,Operate,V7.2,Secure Maintenance Practices,V7.2.1,,Verify that patches and updates are applied in a timely manner,,,,,
V7,Operate,V7.2,Secure Maintenance Practices,V7.2.2,,Verify that privileged access management is implemented and monitored,,,,,
V7,Operate,V7.3,Incident Response Strategies,V7.3.1,,Verify that incident response plans include procedures for handling CI/CD security incidents,,,,,
V7,Operate,V7.3,Incident Response Strategies,V7.3.2,,Verify that incident response plans are tested regularly to ensure effectiveness,,,,,
V8,Monitor,V8.1,Real-time Security Monitoring,V8.1.1,,Verify that real-time monitoring tools are implemented to detect pipeline related security incidents,,,,,
V8,Monitor,V8.1,Real-time Security Monitoring,V8.1.2,,Verify that pipeline alerts are reviewed and responded to promptly,,,,,
V5,Monitor,V8.1,Real-time Security Monitoring,V8.1.3,,Verify that all pipeline activities are logged and monitored for anomalies,,,,,
V8,Monitor,V8.2,Incident Response Strategies,V8.2.1,,"Verify that incident response plans are developed, maintained, and cover the software pipelines",,,,,
V8,Monitor,V8.2,Incident Response Strategies,V8.2.2,,Verify that recovery procedures are tested and effective in minimizing downtime for pipelines,,,,,
