,Category_Name,Category_Description,Sub-Category_Name,Sub-Category_Description,Notes
,,,Credential Hygiene,"Credential hygiene in pipelines involves securely creating, storing, and managing authentication mechanisms like passwords, tokens, and keys. Regularly rotate credentials and retire unused ones to enhance security.",
,,,Continuous Security Checks,"Continuously integrate automated security testing and vulnerability scanning into the build and integration pipeline to detect and address issues early. This process ensures security best practices are enforced at every stage, enabling teams to identify risks before deployment and maintain a secure development workflow.",
,,,Integrity of Artifacts,"Implement measures to ensure the integrity of build artifacts, such as cryptographic signing and checksum validation.",
V4,Release (CD*),"The Release stage ensures software is production-ready and securely deployed. It includes final security validations, compliance checks, and approvals in staging or pre-production environments. Once validated, automated and auditable deployment pipelines deliver the release to production with minimal risk. SPVS emphasizes artifact integrity, change control, and secure rollout strategies to maintain trust and stability during deployment.",,,
,,,Final Security Assessments,"Conduct comprehensive security evaluations in pre-production environments, including penetration tests, vulnerability scans, and manual reviews. These assessments confirm that the release meets all security requirements before going live.",
,,,Compliance Checks,"Validate that the software complies with all relevant internal policies, regulatory frameworks, and industry standards. This includes verifying security controls, audit readiness, and documentation before release.",
,,,Secure Deployment Practices,"Use automated and repeatable deployment methods to securely release software into production. Minimize manual steps, enforce validation gates, and apply secure configurations to reduce the risk of deployment-time vulnerabilities.",
,,,Transition Security,"Apply controls to secure the transition from staging to production. This includes the use of encrypted transfers, validated runtime configurations, and protocols that ensure integrity and confidentiality during the deployment process.",
V5,Operate,"Operate covers the ongoing management, monitoring, and protection of systems in production. This includes incident response, performance monitoring, patch management, access control, and continuous security enforcement. SPVS advocates for real-time visibility, anomaly detection, and operational resilience to ensure sustained reliability, compliance, and a strong security posture over time.",,,
,,,Access Audit,"Routinely perform audits on who has user, elvated or priviglated user access to ensure only who should have access have it.",
,,,Security Standard Enforcement,"Ensure production systems continuously adhere to established security standards and compliance policies. This includes automated checks, runtime controls, and configuration enforcement to prevent drift or deviation from approved security baselines.",
,,,Secure Maintenance Practices,"Maintain operational systems securely by applying patches, performing updates, and managing administrative access using secure procedures. Emphasize minimal downtime, traceability, and risk mitigation during maintenance windows.",
,,,Detection & Monitoring,"Continuously observe production environments using real-time monitoring tools and telemetry. Detect anomalous behavior, potential intrusions, or system misconfigurations as they occur, and route alerts to appropriate responders.",
,,,Incident Response & Recovery,"Develop, document, and practice incident response procedures for production environments. Ensure teams can rapidly triage, contain, and recover from security events while maintaining audit trails and minimizing business impact.",
